Model,Accuracy (%),MAE,RMSE,MAPE,sMAPE
Centralized LSTM,84.60361445462037,0.48539610910641523,0.6767035724255306,75.44363823989784,67.01761002184384
Centralized TCN,84.90017919562624,0.5097819255070152,0.6776566912222685,96.99930196103152,65.16240301986335
Federated LSTM (IID),86.16264582985347,0.4281556122004985,0.5994111018544327,67.44713516235352,54.12175266265869
Federated TCN (IID),91.42202042892362,0.3277873992919922,0.46890636061476737,41.869102478027344,34.22210693359375
Federated TCN (Non-IID),91.17770320562035,0.3398815095424652,0.48226170834734183,44.54273986816406,35.609703063964844
