Accuracy (%),MAE,RMSE,MAPE,sMAPE,subset,trial_no
89.965915155559,0.4053494460688331,0.5485027886660291,60.3399663451168,42.599912053286474,['Global_intensity'],1
89.24627652785173,0.46595180613857057,0.5878410841108713,76.94231094651548,49.406075875938036,"['Global_intensity', 'Voltage']",2
89.2201912843967,0.4682136740143408,0.5892670067535367,76.45575620944837,49.44467463945775,"['Global_intensity', 'Voltage', 'Sub_metering_3']",3
90.47719615966248,0.3868277367649899,0.5205541455271308,58.08042838907127,40.56956538506994,"['Global_intensity', 'Voltage', 'Sub_metering_3', 'hour_sin', 'hour_cos']",4
