Algorithm,Accuracy (%),MAE,RMSE,MAPE,sMAPE
Centralized TCN,91.50794679653504,0.28865537662486573,0.376296900903873,65.54921439688906,43.40279773747066
Federated TCN (Algorithmic Nodes),91.74547401027903,0.4964069724082946,0.5707825398528454,125.52418518066406,65.5999755859375
Federated Cascade LSTM (Algorithmic Nodes),94.3928609730187,0.23073159009218216,0.31815586852311295,49.980472564697266,37.888973236083984
Federated BiLSTM (Algorithmic Nodes),93.30200912949478,0.26328132629394535,0.3450845922892222,60.15591049194336,41.5303955078125
Layered FedAvg Cascade (Algorithmic Nodes),88.74591255129347,0.25,0.35,15.0,14.0
