Experiment,Accuracy (%),MAE,RMSE,MAPE,sMAPE
SET 1: Intensity Only,90.37686392447344,0.37884108598633837,0.5260387025791629,54.4400488081777,39.03341584511148
SET 2: Intensity + Voltage,90.15398250809632,0.39483055463206784,0.5382222828777108,58.7650889343467,40.5960789128858
SET 3: Top 3 (Intensity+V+Sub3),90.54942011956445,0.37474576871775717,0.5166060980440865,54.18220995838854,38.81860789156972
SET 4: Full Features,90.61508120955537,0.3739936907418126,0.51301680300371,54.50717661572648,38.9385242135581
SET 5: No Intensity (Control),90.59017148637642,0.3764249191837843,0.5143784670558248,54.98408953396615,39.420731332410355
