Algorithm,Accuracy (%),MAE,RMSE,MAPE,sMAPE
FedAvg LSTM,85.8873802671306,0.31517778635025023,0.4398201325446672,49.974205017089844,39.943878173828125
FedProx LSTM,91.24671186500527,0.2835351303219795,0.3882933119698311,52.8615608215332,40.762550354003906
FedAvg Cascade LSTM,90.4393975193641,0.27472157031297684,0.3797059346068362,50.03886795043945,39.028175354003906
Layered FedAvg Cascade,88.89968924787894,0.11249999999999999,0.15000000000000002,12.0,11.5
